lW	361	0.04040
lX	138	0.01545
lY	104	0.01164
lZ	9	0.00101
l1	1239	0.13867
l2	1132	0.12669
l3	306	0.03425
l4	33	0.00369
l5	73	0.00817
l6	130	0.01455
l7	16	0.00179
l8	16	0.00179
l9	7	0.00078
l0	84	0.00940
l`	87	0.00974
l~	54	0.00604
l!	409	0.04578
l@	79	0.00884
l#	70	0.00783
l$	850	0.09513
l%	687	0.07689
l^	56	0.00627
l&	86	0.00963
l*	220	0.02462
l(	13553	1.51686
l)	9657	1.08082
l-	3170	0.35479
l_	6020	0.67376
l=	1229	0.13755
l+	655	0.07331
l\	513	0.05742
l|	190	0.02126
l]	1830	0.20481
l}	581	0.06503
l[	2110	0.23615
l{	150	0.01679
l"	3114	0.34852
l'	1119	0.12524
l;	3526	0.39463
l:	4179	0.46772
l/	609	0.06816
l?	942	0.10543
l.	7037	0.78759
l>	830	0.09289
l,	7115	0.79632
l<	315	0.03526
l§	70636	7.90563
l¶	9635	1.07836
l¬	197	0.02205
ma	97833	17.52796
mb	33204	5.94890
mc	801	0.14351
md	2793	0.50040
me	99531	17.83218
mf	366	0.06557
mg	2659	0.47639
mh	138	0.02472
mi	25635	4.59282
mj	36	0.00645
mk	875	0.15677
ml	3744	0.67078
mm	11771	2.10892
mn	4279	0.76663
mo	31552	5.65292
mp	56801	10.17658
mq	91	0.01630
mr	473	0.08474
ms	12748	2.28396
mt	7077	1.26793
mu	17856	3.19912
mv	361	0.06468
mw	148	0.02652
mx	622	0.11144
my	12542	2.24705
mz	92	0.01648
mA	426	0.07632
mB	537	0.09621
mC	889	0.15928
mD	820	0.14691
mE	214	0.03834
mF	641	0.11484
mG	182	0.03261
mH	163	0.02920
mI	734	0.13150
mJ	58	0.01039
mK	18	0.00322
mL	789	0.14136
mM	478	0.08564
mN	287	0.05142
mO	483	0.08654
mP	701	0.12559
mQ	40	0.00717
mR	649	0.11628
mS	862	0.15444
mT	753	0.13491
mU	58	0.01039
mV	207	0.03709
mW	225	0.04031
mX	42	0.00752
mY	61	0.01093
mZ	9	0.00161
m1	1323	0.23703
m2	1298	0.23255
m3	442	0.07919
m4	88	0.01577
m5	122	0.02186
m6	52	0.00932
m7	27	0.00484
m8	27	0.00484
m9	41	0.00735
m0	229	0.04103
m`	114	0.02042
m~	114	0.02042
m!	173	0.03100
m@	60	0.01075
m#	57	0.01021
m$	410	0.07346
m%	588	0.10535
m^	57	0.01021
m&	173	0.03100
m*	404	0.07238
